Accident_ID,Date,Time,Time_Period,Location,Latitude,Longitude,Weather,Road_Condition,Road_Type,Light_Condition,Severity,Vehicles_Involved,Casualties
A00024,2023-01-13,01:20,Night,Residential Area,19.106087,72.99147,Clear,Dry,Intersection,Dark,Moderate,2,1
A00025,2023-01-14,20:00,Evening,College Road,18.919612,72.940079,Clear,Dry,Expressway,Dusk,Severe,4,1
A00026,2023-01-14,00:00,Night,Junction Road,18.92848,72.948061,Clear,Wet,Urban Road,Dark,Severe,2,1
A00027,2023-01-15,11:30,Morning,Bridge Road,19.254882,72.78702,Clear,Wet,Highway,Daylight,Moderate,3,1
A00028,2023-01-15,21:10,Night,College Road,19.20633,72.902582,Clear,Wet,Highway,Dark,Minor,1,0
A00029,2023-01-16,11:20,Morning,Main Highway,18.978776,72.7803,Clear,Dry,Urban Road,Daylight,Moderate,3,5
A00030,2023-01-16,16:40,Afternoon,Station Road,19.148187,72.857752,Rainy,Wet,Urban Road,Daylight,Moderate,2,0
A00031,2023-01-17,09:40,Morning,Main Highway,19.217872,73.065109,Clear,Dry,Urban Road,Daylight,Moderate,3,0
A00032,2023-01-17,15:00,Afternoon,Expressway,19.255836,72.951087,Cloudy,Dry,Highway,Daylight,Severe,2,2
A00033,2023-01-18,14:30,Afternoon,Industrial Area,19.087323,73.009946,Cloudy,Poor,Highway,Daylight,Moderate,4,2
A00034,2023-01-19,14:30,Afternoon,City Center,19.259,72.95086,Cloudy,Dry,Highway,Daylight,Severe,2,1
A00035,2023-01-19,18:40,Evening,Residential Area,19.10314,72.817983,Cloudy,Dry,Highway,Dusk,Minor,2,0
A00036,2023-01-20,11:20,Morning,Airport Road,19.175291,72.958183,Cloudy,Dry,Residential Road,Daylight,Minor,5,6
A00037,2023-01-20,22:10,Night,Industrial Area,19.291612,73.014386,Foggy,Poor,Highway,Dark,Minor,2,1
A00038,2023-01-21,19:20,Evening,Junction Road,18.994381,72.798442,Rainy,Wet,Urban Road,Dusk,Severe,2,2
A00039,2023-01-21,02:50,Night,Industrial Area,18.967409,73.035917,Cloudy,Dry,Residential Road,Dark,Severe,4,2
A00040,2023-01-22,04:50,Night,College Road,19.036808,72.944387,Rainy,Wet,Intersection,Dark,Moderate,2,1
A00041,2023-01-22,18:10,Evening,Expressway,18.96576,72.751496,Cloudy,Dry,Intersection,Dusk,Moderate,1,0
A00042,2023-01-23,06:40,Morning,Industrial Area,19.013665,72.931922,Clear,Dry,Expressway,Daylight,Moderate,5,0
A00043,2023-01-24,20:10,Evening,City Center,19.197194,72.888485,Clear,Wet,Highway,Dusk,Severe,2,4
A00044,2023-01-24,08:30,Morning,Industrial Area,19.09101,72.853756,Clear,Dry,Residential Road,Daylight,Severe,4,1
A00045,2023-01-25,06:50,Morning,College Road,19.050017,73.01994,Foggy,Dry,Expressway,Daylight,Moderate,2,1
A00046,2023-01-25,17:00,Evening,Main Highway,19.04749,73.064825,Rainy,Wet,Highway,Daylight,Moderate,3,0
A00047,2023-01-26,03:00,Night,Industrial Area,18.977812,73.016929,Foggy,Dry,Urban Road,Dark,Minor,2,0
A00048,2023-01-26,13:40,Afternoon,Airport Road,19.078965,73.04637,Cloudy,Wet,Intersection,Daylight,Moderate,5,0
A00049,2023-01-27,17:30,Evening,Station Road,19.149854,73.068073,Cloudy,Dry,Urban Road,Daylight,Moderate,2,1
A00050,2023-01-27,08:20,Morning,Station Road,18.955662,73.06942,Clear,Dry,Highway,Daylight,Minor,1,0
A00051,2023-01-28,20:30,Evening,Ring Road,19.289125,72.790123,Rainy,Slippery,Highway,Dusk,Severe,3,3
A00052,2023-01-28,01:00,Night,Residential Area,19.077312,72.909735,Cloudy,Dry,Urban Road,Dark,Moderate,2,1
A00053,2023-01-29,19:00,Evening,City Center,19.279184,72.7501,Stormy,Wet,Highway,Dusk,Fatal,3,2
A00054,2023-01-30,14:50,Afternoon,Market Road,18.953864,72.927262,Clear,Dry,Residential Road,Daylight,Minor,4,1
A00055,2023-01-30,06:30,Morning,City Center,19.206886,73.073485,Cloudy,Dry,Residential Road,Daylight,Moderate,2,1
A00056,2023-01-31,11:30,Morning,Ring Road,19.147055,72.819686,Cloudy,Dry,Highway,Daylight,Moderate,3,1
A00057,2023-01-31,07:00,Morning,Airport Road,19.228026,72.973925,Cloudy,Dry,Intersection,Daylight,Minor,2,0
A00058,2023-02-01,14:20,Afternoon,Expressway,19.140271,72.975533,Cloudy,Dry,Urban Road,Daylight,Moderate,2,0
A00059,2023-02-01,02:40,Night,Junction Road,19.285135,72.806124,Rainy,Slippery,Highway,Dark,Minor,2,0
A00060,2023-02-02,13:40,Afternoon,Main Highway,19.150773,72.833485,Clear,Dry,Expressway,Daylight,Minor,3,2
A00061,2023-02-02,16:30,Afternoon,Market Road,19.213842,72.911708,Rainy,Slippery,Expressway,Daylight,Minor,1,0
A00062,2023-02-03,03:40,Night,College Road,19.251033,72.815873,Cloudy,Poor,Residential Road,Dark,Minor,3,1
A00063,2023-02-03,17:00,Evening,College Road,19.185833,72.954748,Foggy,Wet,Intersection,Daylight,Moderate,1,0
A00064,2023-02-04,07:00,Morning,Residential Area,19.109695,72.91959,Rainy,Wet,Expressway,Daylight,Minor,3,2
A00065,2023-02-05,03:30,Night,Market Road,19.009127,72.931719,Clear,Dry,Intersection,Dark,Moderate,1,0
A00066,2023-02-05,01:30,Night,College Road,19.241797,72.797064,Clear,Dry,Urban Road,Dark,Moderate,4,2
A00067,2023-02-06,05:50,Morning,Residential Area,19.092231,72.931038,Stormy,Wet,Expressway,Dark,Moderate,2,1
A00068,2023-02-06,21:30,Night,Airport Road,19.148283,72.767317,Cloudy,Dry,Intersection,Dark,Severe,2,1
A00069,2023-02-07,09:20,Morning,Market Road,18.931691,73.058537,Foggy,Dry,Residential Road,Daylight,Moderate,2,1
A00070,2023-02-07,03:40,Night,Airport Road,19.098941,72.870137,Clear,Dry,Highway,Dark,Moderate,3,0
A00071,2023-02-08,21:30,Night,College Road,19.179263,73.049718,Cloudy,Dry,Urban Road,Dark,Minor,2,2
A00072,2023-02-08,17:10,Evening,Station Road,19.133629,72.99558,Rainy,Slippery,Residential Road,Daylight,Severe,3,1
A00073,2023-02-09,11:50,Morning,City Center,19.079422,73.01816,Foggy,Poor,Highway,Daylight,Severe,2,1
A00074,2023-02-09,01:10,Night,City Center,18.989371,72.860091,Clear,Dry,Intersection,Dark,Minor,3,1
A00075,2023-02-10,09:00,Morning,Airport Road,19.023868,72.82971,Rainy,Slippery,Highway,Daylight,Minor,1,0
A00076,2023-02-11,03:40,Night,Station Road,19.18025,72.892359,Cloudy,Dry,Highway,Dark,Minor,2,0
A00077,2023-02-11,13:30,Afternoon,Residential Area,18.989676,72.758479,Clear,Dry,Intersection,Daylight,Moderate,2,1
A00078,2023-02-12,15:10,Afternoon,Main Highway,19.148691,73.071564,Rainy,Wet,Urban Road,Daylight,Minor,1,0
A00079,2023-02-12,14:40,Afternoon,Expressway,19.135895,72.885455,Rainy,Slippery,Highway,Daylight,Moderate,2,1
A00080,2023-02-13,07:00,Morning,Main Highway,19.288167,73.095995,Foggy,Dry,Residential Road,Daylight,Minor,4,1
A00081,2023-02-13,13:20,Afternoon,Bridge Road,18.924313,73.016507,Cloudy,Dry,Residential Road,Daylight,Severe,5,5
A00082,2023-02-14,22:50,Night,Ring Road,18.943249,72.77818,Clear,Dry,Highway,Dark,Minor,3,1
A00083,2023-02-14,07:40,Morning,Industrial Area,19.102433,72.981066,Clear,Wet,Intersection,Daylight,Minor,2,0
A00084,2023-02-15,20:40,Evening,Junction Road,19.110844,72.844794,Clear,Wet,Urban Road,Dusk,Moderate,2,2
A00085,2023-02-16,15:20,Afternoon,Bridge Road,18.915971,72.835302,Clear,Dry,Residential Road,Daylight,Minor,3,0
A00086,2023-02-16,12:40,Afternoon,Main Highway,19.230342,72.839797,Rainy,Slippery,Urban Road,Daylight,Minor,2,0
A00087,2023-02-17,17:00,Evening,Expressway,19.097889,73.070626,Clear,Dry,Residential Road,Daylight,Minor,4,1
A00088,2023-02-17,14:00,Afternoon,Station Road,19.038657,72.924993,Foggy,Dry,Urban Road,Daylight,Moderate,2,0
A00089,2023-02-18,20:20,Evening,City Center,19.027542,72.984315,Stormy,Slippery,Urban Road,Dusk,Severe,5,5
A00090,2023-02-18,23:50,Night,Junction Road,19.244563,72.848332,Cloudy,Dry,Urban Road,Dark,Severe,2,3
A00091,2023-02-19,12:30,Afternoon,City Center,18.978693,72.933034,Foggy,Poor,Expressway,Daylight,Moderate,3,2
A00092,2023-02-19,08:10,Morning,Main Highway,18.964167,72.872535,Rainy,Wet,Highway,Daylight,Minor,1,0
A00093,2023-02-20,14:30,Afternoon,Main Highway,18.985271,72.862399,Cloudy,Dry,Residential Road,Daylight,Moderate,4,0
A00094,2023-02-20,12:40,Afternoon,Ring Road,19.150009,72.836439,Clear,Poor,Expressway,Daylight,Moderate,2,2
A00095,2023-02-21,00:10,Night,Main Highway,19.224372,72.893152,Cloudy,Dry,Highway,Dark,Minor,3,2
A00096,2023-02-22,06:20,Morning,Airport Road,19.032391,72.981011,Cloudy,Poor,Highway,Daylight,Minor,3,0
A00097,2023-02-22,08:20,Morning,Junction Road,18.969385,72.827715,Rainy,Dry,Urban Road,Daylight,Minor,2,1
A00098,2023-02-23,23:50,Night,College Road,18.983678,73.087905,Cloudy,Dry,Residential Road,Dark,Severe,2,2
A00099,2023-02-23,00:10,Night,Industrial Area,19.147674,72.793614,Foggy,Dry,Highway,Dark,Minor,2,0
A00100,2023-02-24,11:00,Morning,Residential Area,18.998414,72.918073,Rainy,Wet,Urban Road,Daylight,Severe,2,0
A00101,2023-02-24,07:10,Morning,Industrial Area,19.250912,72.77976,Clear,Dry,Residential Road,Daylight,Minor,2,1
A00102,2023-02-25,23:40,Night,Industrial Area,18.941557,72.757933,Stormy,Wet,Residential Road,Dark,Minor,2,0
A00103,2023-02-25,10:00,Morning,Bridge Road,18.912947,73.072937,Cloudy,Dry,Urban Road,Daylight,Moderate,2,1
A00104,2023-02-26,18:20,Evening,Main Highway,18.935351,73.033635,Clear,Dry,Urban Road,Dusk,Moderate,3,1
A00105,2023-02-26,16:10,Afternoon,Airport Road,19.238257,72.992954,Cloudy,Dry,Expressway,Daylight,Minor,3,1
A00106,2023-02-27,07:30,Morning,Bridge Road,19.160492,73.052817,Clear,Poor,Intersection,Daylight,Minor,2,1
A00107,2023-02-28,02:50,Night,Bridge Road,19.283098,73.030997,Cloudy,Wet,Intersection,Dark,Minor,4,1
A00108,2023-02-28,02:30,Night,College Road,19.034519,72.976533,Cloudy,Dry,Residential Road,Dark,Minor,4,0
A00109,2023-03-01,00:50,Night,College Road,18.985071,73.04657,Clear,Dry,Urban Road,Dark,Minor,2,1
A00110,2023-03-01,04:40,Night,Station Road,19.12479,72.88678,Stormy,Slippery,Urban Road,Dark,Fatal,2,4
A00111,2023-03-02,09:30,Morning,College Road,19.115131,72.943463,Cloudy,Dry,Highway,Daylight,Moderate,2,1
A00112,2023-03-02,06:10,Morning,Airport Road,19.13641,73.021709,Clear,Dry,Highway,Daylight,Moderate,3,1
A00113,2023-03-03,08:10,Morning,Junction Road,19.039014,72.779679,Cloudy,Poor,Residential Road,Daylight,Minor,3,1
A00114,2023-03-03,06:30,Morning,Station Road,18.902359,73.050526,Foggy,Dry,Urban Road,Daylight,Minor,2,0
A00115,2023-03-04,08:10,Morning,Market Road,18.914013,72.804891,Clear,Dry,Urban Road,Daylight,Minor,3,1
A00116,2023-03-04,07:40,Morning,Ring Road,19.165531,73.052589,Clear,Wet,Intersection,Daylight,Moderate,2,2
A00117,2023-03-05,11:00,Morning,Market Road,19.109303,72.858967,Clear,Poor,Highway,Daylight,Moderate,1,0
A00118,2023-03-06,01:40,Night,Industrial Area,19.228405,72.864374,Clear,Dry,Highway,Dark,Minor,3,2
A00119,2023-03-06,00:50,Night,Bridge Road,19.020164,72.775882,Rainy,Wet,Highway,Dark,Moderate,3,1
A00120,2023-03-07,15:40,Afternoon,Airport Road,19.226189,73.060065,Rainy,Wet,Residential Road,Daylight,Moderate,2,0
A00121,2023-03-07,22:50,Night,Junction Road,19.070197,72.811079,Clear,Dry,Residential Road,Dark,Minor,2,0
A00122,2023-03-08,22:10,Night,Junction Road,18.938679,72.970517,Rainy,Slippery,Urban Road,Dark,Minor,4,1
A00123,2023-03-08,23:00,Night,Station Road,19.291165,72.975389,Clear,Dry,Urban Road,Dark,Moderate,3,3
A00124,2023-03-09,04:10,Night,Market Road,19.104774,72.848403,Stormy,Slippery,Expressway,Dark,Moderate,3,0
A00125,2023-03-09,02:20,Night,Bridge Road,19.151791,73.094981,Stormy,Wet,Expressway,Dark,Minor,1,0
A00126,2023-03-10,11:10,Morning,Airport Road,19.168319,72.772458,Clear,Dry,Intersection,Daylight,Minor,2,1
A00127,2023-03-11,07:50,Morning,Residential Area,19.044965,72.962755,Rainy,Wet,Expressway,Daylight,Moderate,2,1
A00128,2023-03-11,21:10,Night,Residential Area,19.199011,72.91784,Rainy,Slippery,Residential Road,Dark,Minor,2,2
A00129,2023-03-12,02:10,Night,Residential Area,19.248107,72.835919,Clear,Dry,Highway,Dark,Moderate,3,0
A00130,2023-03-12,00:00,Night,Ring Road,19.054875,72.807243,Clear,Dry,Highway,Dark,Moderate,2,0
A00131,2023-03-13,02:10,Night,College Road,19.1628,73.00798,Cloudy,Dry,Highway,Dark,Minor,2,2
A00132,2023-03-13,04:00,Night,Junction Road,19.20285,73.07071,Rainy,Wet,Residential Road,Dark,Minor,2,0
A00133,2023-03-14,14:30,Afternoon,Ring Road,18.97605,72.787641,Stormy,Wet,Expressway,Daylight,Moderate,2,1
A00134,2023-03-14,13:20,Afternoon,Ring Road,19.033038,72.817893,Rainy,Slippery,Urban Road,Daylight,Minor,4,0
A00135,2023-03-15,02:00,Night,Airport Road,18.943518,73.095194,Rainy,Wet,Highway,Dark,Minor,3,0
A00136,2023-03-15,00:50,Night,Airport Road,19.140883,72.755258,Cloudy,Dry,Urban Road,Dark,Moderate,2,0
A00137,2023-03-16,04:30,Night,Industrial Area,19.220375,72.927888,Rainy,Slippery,Intersection,Dark,Minor,3,0
A00138,2023-03-17,22:00,Night,Station Road,19.144335,72.930639,Rainy,Dry,Residential Road,Dark,Moderate,3,0
A00139,2023-03-17,13:00,Afternoon,City Center,18.971914,72.842107,Clear,Dry,Expressway,Daylight,Minor,3,2
A00140,2023-03-18,06:20,Morning,Residential Area,19.118547,72.98206,Cloudy,Dry,Expressway,Daylight,Moderate,2,0
A00141,2023-03-18,08:50,Morning,Main Highway,19.233974,73.080729,Rainy,Slippery,Intersection,Daylight,Minor,2,1
A00142,2023-03-19,14:40,Afternoon,Bridge Road,19.02109,72.907575,Clear,Poor,Expressway,Daylight,Fatal,2,0
A00143,2023-03-19,14:40,Afternoon,City Center,19.233061,73.012297,Rainy,Slippery,Expressway,Daylight,Moderate,3,1
A00144,2023-03-20,09:00,Morning,Main Highway,19.213849,72.976125,Clear,Dry,Highway,Daylight,Minor,3,1
A00145,2023-03-20,12:10,Afternoon,Airport Road,18.908696,72.91553,Cloudy,Dry,Highway,Daylight,Minor,2,3
A00146,2023-03-21,18:50,Evening,City Center,18.995782,72.767434,Rainy,Slippery,Urban Road,Dusk,Minor,2,1
A00147,2023-03-21,06:30,Morning,Junction Road,19.117177,73.009612,Clear,Dry,Highway,Daylight,Moderate,2,1
A00148,2023-03-22,16:10,Afternoon,Industrial Area,19.187047,72.877138,Clear,Dry,Intersection,Daylight,Severe,2,0
A00149,2023-03-23,19:10,Evening,Residential Area,19.252212,72.828573,Clear,Wet,Urban Road,Dusk,Moderate,5,1
A00150,2023-03-23,03:50,Night,College Road,19.156417,73.081894,Foggy,Dry,Intersection,Dark,Minor,2,0
A00151,2023-03-24,04:00,Night,Bridge Road,19.052138,73.020726,Clear,Dry,Urban Road,Dark,Moderate,1,1
A00152,2023-03-24,22:00,Night,Main Highway,18.973851,73.086794,Foggy,Dry,Urban Road,Dark,Minor,5,0
A00153,2023-03-25,06:00,Morning,Junction Road,19.204014,72.839676,Clear,Dry,Intersection,Daylight,Severe,2,2
A00154,2023-03-25,12:00,Afternoon,Expressway,18.982713,73.042528,Stormy,Wet,Urban Road,Daylight,Moderate,3,1
A00155,2023-03-26,14:40,Afternoon,Residential Area,19.178172,72.962702,Stormy,Slippery,Urban Road,Daylight,Minor,1,0
A00156,2023-03-26,10:00,Morning,Industrial Area,18.972485,73.093526,Cloudy,Dry,Highway,Daylight,Minor,2,0
A00157,2023-03-27,03:40,Night,College Road,18.936422,73.081211,Cloudy,Dry,Residential Road,Dark,Severe,2,3
A00158,2023-03-28,12:40,Afternoon,Bridge Road,19.00044,73.090539,Cloudy,Poor,Urban Road,Daylight,Severe,3,3
A00159,2023-03-28,06:00,Morning,College Road,19.013972,73.083119,Cloudy,Dry,Residential Road,Daylight,Minor,1,1
A00160,2023-03-29,18:20,Evening,Station Road,19.158884,72.752681,Clear,Dry,Residential Road,Dusk,Minor,2,1
A00161,2023-03-29,21:30,Night,Industrial Area,18.964353,73.00938,Clear,Poor,Residential Road,Dark,Moderate,3,2
A00162,2023-03-30,01:10,Night,Industrial Area,19.272123,72.845177,Clear,Dry,Expressway,Dark,Minor,2,0
A00163,2023-03-30,09:40,Morning,Bridge Road,19.121745,72.996759,Clear,Dry,Urban Road,Daylight,Minor,2,2
A00164,2023-03-31,12:50,Afternoon,Residential Area,19.096373,73.093214,Clear,Wet,Urban Road,Daylight,Minor,1,2
A00165,2023-03-31,20:50,Evening,Residential Area,19.073878,72.763776,Cloudy,Dry,Expressway,Dusk,Minor,2,1
A00166,2023-04-01,05:30,Morning,Expressway,19.126641,72.948446,Stormy,Slippery,Urban Road,Dark,Moderate,3,0
A00167,2023-04-01,11:50,Morning,Market Road,18.908979,73.007234,Clear,Dry,Urban Road,Daylight,Fatal,3,3
A00168,2023-04-02,11:20,Morning,Residential Area,19.296035,72.838676,Cloudy,Wet,Urban Road,Daylight,Moderate,5,1
A00169,2023-04-03,19:50,Evening,Residential Area,19.12301,72.828793,Clear,Dry,Intersection,Dusk,Minor,3,2
A00170,2023-04-03,10:10,Morning,Station Road,18.914078,72.771121,Rainy,Wet,Urban Road,Daylight,Moderate,2,1
A00171,2023-04-04,22:10,Night,College Road,19.135991,72.782872,Foggy,Dry,Urban Road,Dark,Moderate,4,1
A00172,2023-04-04,06:40,Morning,Station Road,19.074832,72.979862,Foggy,Dry,Residential Road,Daylight,Minor,2,1
A00173,2023-04-05,00:00,Night,Residential Area,18.909615,72.926824,Stormy,Slippery,Residential Road,Dark,Severe,2,1
A00174,2023-04-05,00:20,Night,Junction Road,19.269772,72.760525,Clear,Dry,Highway,Dark,Moderate,2,0
A00175,2023-04-06,19:40,Evening,Expressway,18.904227,73.089382,Rainy,Wet,Urban Road,Dusk,Fatal,2,1
A00176,2023-04-06,12:20,Afternoon,City Center,19.131149,72.979616,Rainy,Wet,Expressway,Daylight,Moderate,3,0
A00177,2023-04-07,08:00,Morning,Station Road,19.284716,72.930414,Clear,Dry,Intersection,Daylight,Moderate,2,1
A00178,2023-04-07,02:50,Night,Ring Road,18.995042,72.845453,Stormy,Slippery,Residential Road,Dark,Minor,2,1
A00179,2023-04-08,06:50,Morning,City Center,19.001672,72.980335,Clear,Wet,Urban Road,Daylight,Moderate,2,1
A00180,2023-04-09,05:00,Morning,Main Highway,18.900169,72.877459,Rainy,Slippery,Highway,Dark,Minor,2,1
A00181,2023-04-09,07:40,Morning,Junction Road,18.92654,72.995873,Clear,Poor,Intersection,Daylight,Severe,2,2
A00182,2023-04-10,08:00,Morning,Airport Road,18.917955,72.9889,Clear,Wet,Expressway,Daylight,Severe,3,1
A00183,2023-04-10,04:30,Night,Market Road,19.229063,72.78246,Rainy,Wet,Highway,Dark,Severe,2,1
A00184,2023-04-11,00:10,Night,Main Highway,19.234695,73.068241,Cloudy,Dry,Highway,Dark,Moderate,3,2
A00185,2023-04-11,18:40,Evening,Airport Road,19.19068,72.920441,Clear,Poor,Residential Road,Dusk,Severe,2,0
A00186,2023-04-12,09:20,Morning,Junction Road,19.041098,72.887531,Clear,Dry,Urban Road,Daylight,Minor,2,0
A00187,2023-04-12,11:30,Morning,Station Road,19.228502,73.084412,Rainy,Slippery,Urban Road,Daylight,Moderate,3,1
A00188,2023-04-13,23:40,Night,Ring Road,19.11591,72.903373,Clear,Dry,Highway,Dark,Moderate,4,0
A00189,2023-04-13,14:00,Afternoon,Airport Road,19.021724,73.002427,Clear,Dry,Urban Road,Daylight,Moderate,2,1
A00190,2023-04-14,21:00,Night,Junction Road,19.074911,72.979298,Foggy,Wet,Urban Road,Dark,Moderate,3,0
A00191,2023-04-15,23:00,Night,Airport Road,18.926307,72.807799,Rainy,Wet,Expressway,Dark,Minor,5,0
A00192,2023-04-15,08:00,Morning,Main Highway,19.277963,73.0969,Clear,Poor,Urban Road,Daylight,Minor,5,2
A00193,2023-04-16,19:20,Evening,Residential Area,19.147647,72.912262,Rainy,Slippery,Urban Road,Dusk,Severe,3,1
A00194,2023-04-16,16:30,Afternoon,Market Road,19.192494,72.888174,Rainy,Wet,Urban Road,Daylight,Moderate,3,1
A00195,2023-04-17,16:50,Afternoon,College Road,19.170633,73.071865,Foggy,Poor,Urban Road,Daylight,Minor,2,0
A00196,2023-04-17,19:10,Evening,Junction Road,19.1671,72.935233,Cloudy,Dry,Highway,Dusk,Severe,4,3
A00197,2023-04-18,11:20,Morning,Ring Road,18.906904,72.996777,Clear,Dry,Urban Road,Daylight,Severe,2,2
A00198,2023-04-18,06:20,Morning,Expressway,19.110149,73.046186,Clear,Dry,Residential Road,Daylight,Minor,5,2
A00199,2023-04-19,01:50,Night,Airport Road,19.228684,72.832423,Clear,Dry,Highway,Dark,Severe,1,0
A00200,2023-04-20,02:50,Night,Residential Area,18.917808,72.809313,Cloudy,Dry,Highway,Dark,Severe,2,4
A00201,2023-04-20,16:10,Afternoon,College Road,19.282466,72.773977,Clear,Dry,Highway,Daylight,Severe,2,0
A00202,2023-04-21,04:10,Night,Expressway,19.069664,73.063997,Cloudy,Dry,Urban Road,Dark,Severe,2,2
A00203,2023-04-21,16:50,Afternoon,Ring Road,19.015958,72.820128,Clear,Dry,Intersection,Daylight,Moderate,2,0
A00204,2023-04-22,23:00,Night,Residential Area,19.112729,72.857714,Clear,Dry,Highway,Dark,Minor,3,3
A00205,2023-04-22,16:20,Afternoon,Residential Area,19.220486,72.850032,Foggy,Dry,Intersection,Daylight,Minor,3,1
A00206,2023-04-23,16:40,Afternoon,Bridge Road,19.089902,72.856606,Cloudy,Dry,Highway,Daylight,Minor,3,1
A00207,2023-04-23,01:10,Night,Industrial Area,19.158042,72.983821,Clear,Dry,Expressway,Dark,Moderate,2,0
A00208,2023-04-24,01:10,Night,Residential Area,19.099966,73.08394,Rainy,Wet,Urban Road,Dark,Minor,3,2
A00209,2023-04-24,21:50,Night,College Road,19.152509,72.865309,Clear,Dry,Residential Road,Dark,Minor,2,0
A00210,2023-04-25,22:30,Night,Market Road,18.955212,72.892677,Rainy,Slippery,Urban Road,Dark,Minor,2,1
A00211,2023-04-26,04:40,Night,Industrial Area,18.915465,73.019901,Rainy,Slippery,Urban Road,Dark,Minor,3,0
A00212,2023-04-26,00:40,Night,Ring Road,18.954761,72.901318,Clear,Dry,Expressway,Dark,Severe,4,2
A00213,2023-04-27,00:10,Night,Junction Road,19.014335,73.074115,Rainy,Wet,Expressway,Dark,Minor,2,0
A00214,2023-04-27,18:00,Evening,City Center,19.001342,72.926126,Cloudy,Dry,Urban Road,Dusk,Moderate,2,0
A00215,2023-04-28,01:30,Night,Station Road,19.14607,72.871707,Cloudy,Dry,Highway,Dark,Moderate,2,0
A00216,2023-04-28,20:40,Evening,Ring Road,19.082356,73.09005,Clear,Dry,Highway,Dusk,Minor,2,0
A00217,2023-04-29,11:10,Morning,Residential Area,18.915525,72.899024,Clear,Dry,Expressway,Daylight,Severe,2,2
A00218,2023-04-29,05:40,Morning,College Road,18.913946,72.830911,Foggy,Wet,Urban Road,Dark,Moderate,5,3
A00219,2023-04-30,22:30,Night,Airport Road,18.936235,72.812195,Clear,Wet,Urban Road,Dark,Minor,3,2
A00220,2023-04-30,03:30,Night,Main Highway,19.041232,73.098313,Cloudy,Dry,Residential Road,Dark,Minor,3,1
A00221,2023-05-01,22:20,Night,Station Road,18.902473,73.013546,Cloudy,Dry,Intersection,Dark,Minor,2,1
A00222,2023-05-02,10:50,Morning,Ring Road,19.097595,72.893031,Cloudy,Wet,Residential Road,Daylight,Minor,3,2
A00223,2023-05-02,23:50,Night,Bridge Road,19.044268,73.039227,Clear,Dry,Expressway,Dark,Minor,2,1
A00224,2023-05-03,16:10,Afternoon,Expressway,19.122177,72.941382,Clear,Dry,Expressway,Daylight,Moderate,2,0
